dataid,devicename,sensor,sensorid,value,dbtimestamp
71446705,NDS016,Soil Potassium,14,52.0,2025-05-30 00:01:55.980744
71446699,NDS016,Soil Moisture,9,18.9,2025-05-30 00:01:55.980744
71446702,NDS016,Soil pH,10,5.5,2025-05-30 00:01:55.980744
71446701,NDS016,Soil EC,11,213.0,2025-05-30 00:01:55.980744
71446703,NDS016,Soil Nitrogen,12,6.0,2025-05-30 00:01:55.980744
71446704,NDS016,Soil Phosphorus,13,59.0,2025-05-30 00:01:55.980744
71446700,NDS016,Soil Temperature,8,25.6,2025-05-30 00:01:55.980744
71406569,NDS016,Soil Nitrogen,12,11.0,2025-05-29 00:01:26.817793
71406566,NDS016,Soil Temperature,8,27.8,2025-05-29 00:01:26.817793
71406571,NDS016,Soil Potassium,14,65.0,2025-05-29 00:01:26.817793
71406567,NDS016,Soil EC,11,240.0,2025-05-29 00:01:26.817793
71406568,NDS016,Soil pH,10,5.5,2025-05-29 00:01:26.817793
71406565,NDS016,Soil Moisture,9,18.9,2025-05-29 00:01:26.817793
71406570,NDS016,Soil Phosphorus,13,72.0,2025-05-29 00:01:26.817793
71267443,NDS016,Soil Moisture,9,18.1,2025-05-28 00:00:48.939404
71267445,NDS016,Soil EC,11,247.0,2025-05-28 00:00:48.939404
71267447,NDS016,Soil Nitrogen,12,13.0,2025-05-28 00:00:48.939404
71267444,NDS016,Soil Temperature,8,26.5,2025-05-28 00:00:48.939404
71267448,NDS016,Soil Phosphorus,13,76.0,2025-05-28 00:00:48.939404
71267449,NDS016,Soil Potassium,14,68.0,2025-05-28 00:00:48.939404
71267446,NDS016,Soil pH,10,5.5,2025-05-28 00:00:48.939404
71119633,NDS016,Soil pH,10,5.5,2025-05-27 00:00:19.025437
71119632,NDS016,Soil EC,11,270.0,2025-05-27 00:00:19.025437
71119635,NDS016,Soil Phosphorus,13,87.0,2025-05-27 00:00:19.025437
71119634,NDS016,Soil Nitrogen,12,17.0,2025-05-27 00:00:19.025437
71119631,NDS016,Soil Temperature,8,27.3,2025-05-27 00:00:19.025437
71119636,NDS016,Soil Potassium,14,80.0,2025-05-27 00:00:19.025437
71119630,NDS016,Soil Moisture,9,19.2,2025-05-27 00:00:19.025437
70962894,NDS016,Soil Moisture,9,20.7,2025-05-26 00:01:19.007408
70962896,NDS016,Soil EC,11,292.0,2025-05-26 00:01:19.007408
70962899,NDS016,Soil Phosphorus,13,98.0,2025-05-26 00:01:19.007408
70962900,NDS016,Soil Potassium,14,90.0,2025-05-26 00:01:19.007408
70962898,NDS016,Soil Nitrogen,12,22.0,2025-05-26 00:01:19.007408
70962897,NDS016,Soil pH,10,5.2,2025-05-26 00:01:19.007408
70962895,NDS016,Soil Temperature,8,26.9,2025-05-26 00:01:19.007408
70845950,NDS016,Soil Temperature,8,27.1,2025-05-25 00:00:44.393652
70845955,NDS016,Soil Potassium,14,103.0,2025-05-25 00:00:44.393652
70845954,NDS016,Soil Phosphorus,13,110.0,2025-05-25 00:00:44.393652
70845953,NDS016,Soil Nitrogen,12,27.0,2025-05-25 00:00:44.393652
70845949,NDS016,Soil Moisture,9,21.1,2025-05-25 00:00:44.393652
70845952,NDS016,Soil pH,10,4.8,2025-05-25 00:00:44.393652
70845951,NDS016,Soil EC,11,318.0,2025-05-25 00:00:44.393652
70729295,NDS016,Soil EC,11,348.0,2025-05-24 00:01:50.268697
70729297,NDS016,Soil Nitrogen,12,34.0,2025-05-24 00:01:50.268697
70729298,NDS016,Soil Phosphorus,13,125.0,2025-05-24 00:01:50.268697
70729299,NDS016,Soil Potassium,14,117.0,2025-05-24 00:01:50.268697
70729294,NDS016,Soil Temperature,8,27.1,2025-05-24 00:01:50.268697
70729293,NDS016,Soil Moisture,9,19.3,2025-05-24 00:01:50.268697
70729296,NDS016,Soil pH,10,4.9,2025-05-24 00:01:50.268697
70612625,NDS016,Soil Nitrogen,12,37.0,2025-05-23 00:01:52.733948
70612621,NDS016,Soil Moisture,9,19.2,2025-05-23 00:01:52.733948
70612623,NDS016,Soil EC,11,366.0,2025-05-23 00:01:52.733948
70612624,NDS016,Soil pH,10,5.2,2025-05-23 00:01:52.733948
70612626,NDS016,Soil Phosphorus,13,133.0,2025-05-23 00:01:52.733948
70612622,NDS016,Soil Temperature,8,26.9,2025-05-23 00:01:52.733948
70612627,NDS016,Soil Potassium,14,126.0,2025-05-23 00:01:52.733948
70488233,NDS016,Soil Moisture,9,19.6,2025-05-22 00:01:06.323764
70488237,NDS016,Soil Nitrogen,12,40.0,2025-05-22 00:01:06.323764
70488238,NDS016,Soil Phosphorus,13,138.0,2025-05-22 00:01:06.323764
70488239,NDS016,Soil Potassium,14,131.0,2025-05-22 00:01:06.323764
70488236,NDS016,Soil pH,10,5.1,2025-05-22 00:01:06.323764
70488234,NDS016,Soil Temperature,8,27.0,2025-05-22 00:01:06.323764
70488235,NDS016,Soil EC,11,376.0,2025-05-22 00:01:06.323764
70370515,NDS016,Soil Potassium,14,137.0,2025-05-21 00:01:17.530340
70370512,NDS016,Soil pH,10,5.0,2025-05-21 00:01:17.530340
70370513,NDS016,Soil Nitrogen,12,42.0,2025-05-21 00:01:17.530340
70370514,NDS016,Soil Phosphorus,13,144.0,2025-05-21 00:01:17.530340
70370509,NDS016,Soil Moisture,9,19.9,2025-05-21 00:01:17.530340
70370511,NDS016,Soil EC,11,388.0,2025-05-21 00:01:17.530340
70370510,NDS016,Soil Temperature,8,26.9,2025-05-21 00:01:17.530340
70256420,NDS016,Soil Nitrogen,12,44.0,2025-05-20 00:02:43.363180
70256422,NDS016,Soil Potassium,14,140.0,2025-05-20 00:02:43.363180
70256418,NDS016,Soil EC,11,395.0,2025-05-20 00:02:43.363180
70256419,NDS016,Soil pH,10,5.2,2025-05-20 00:02:43.363180
70256417,NDS016,Soil Temperature,8,26.7,2025-05-20 00:02:43.363180
70256416,NDS016,Soil Moisture,9,21.7,2025-05-20 00:02:43.363180
70256421,NDS016,Soil Phosphorus,13,147.0,2025-05-20 00:02:43.363180
70147815,NDS016,Soil Temperature,8,25.8,2025-05-19 00:00:44.221294
70147820,NDS016,Soil Potassium,14,76.0,2025-05-19 00:00:44.221294
70147814,NDS016,Soil Moisture,9,19.2,2025-05-19 00:00:44.221294
70147819,NDS016,Soil Phosphorus,13,83.0,2025-05-19 00:00:44.221294
70147818,NDS016,Soil Nitrogen,12,16.0,2025-05-19 00:00:44.221294
70147817,NDS016,Soil pH,10,5.1,2025-05-19 00:00:44.221294
70147816,NDS016,Soil EC,11,262.0,2025-05-19 00:00:44.221294
70035888,NDS016,Soil EC,11,278.0,2025-05-18 00:02:00.360770
