dataid,devicename,sensor,sensorid,value,dbtimestamp
71267360,NP002,Soil Moisture,9,61.0,2025-05-28 00:00:24.345440
71267365,NP002,Soil Phosphorus,13,824.0,2025-05-28 00:00:24.345440
71267361,NP002,Soil Temperature,8,29.9,2025-05-28 00:00:24.345440
71267362,NP002,Soil EC,11,1798.0,2025-05-28 00:00:24.345440
71267364,NP002,Soil Nitrogen,12,336.0,2025-05-28 00:00:24.345440
71267363,NP002,Soil pH,10,5.0,2025-05-28 00:00:24.345440
71267366,NP002,Soil Potassium,14,822.0,2025-05-28 00:00:24.345440
71267355,NP002,Humidity,3,100.0,2025-05-28 00:00:20.346921
71267353,NP002,CO2,1,5270.0,2025-05-28 00:00:20.346921
71267354,NP002,Air Temperature,2,27.93736,2025-05-28 00:00:20.346921
71119644,NP002,Soil Potassium,14,843.0,2025-05-27 00:00:21.345012
71119640,NP002,Soil EC,11,1840.0,2025-05-27 00:00:21.345012
71119643,NP002,Soil Phosphorus,13,844.0,2025-05-27 00:00:21.345012
71119642,NP002,Soil Nitrogen,12,345.0,2025-05-27 00:00:21.345012
71119641,NP002,Soil pH,10,5.1,2025-05-27 00:00:21.345012
71119639,NP002,Soil Temperature,8,30.3,2025-05-27 00:00:21.345012
71119638,NP002,Soil Moisture,9,59.4,2025-05-27 00:00:21.345012
71119614,NP002,Humidity,3,100.0,2025-05-27 00:00:17.251409
71119612,NP002,CO2,1,7162.0,2025-05-27 00:00:17.251409
71119613,NP002,Air Temperature,2,28.826582,2025-05-27 00:00:17.251409
70962809,NP002,Soil pH,10,4.9,2025-05-26 00:00:14.134814
70962806,NP002,Soil Moisture,9,27.4,2025-05-26 00:00:14.134814
70962807,NP002,Soil Temperature,8,28.3,2025-05-26 00:00:14.134814
70962812,NP002,Soil Potassium,14,463.0,2025-05-26 00:00:14.134814
70962810,NP002,Soil Nitrogen,12,182.0,2025-05-26 00:00:14.134814
70962808,NP002,Soil EC,11,1059.0,2025-05-26 00:00:14.134814
70962811,NP002,Soil Phosphorus,13,467.0,2025-05-26 00:00:14.134814
70962802,NP002,CO2,1,1041.0,2025-05-26 00:00:10.142329
70962803,NP002,Air Temperature,2,27.542152,2025-05-26 00:00:10.142329
70962804,NP002,Humidity,3,100.0,2025-05-26 00:00:10.142329
70845926,NP002,Soil pH,10,4.9,2025-05-25 00:00:20.064596
70845928,NP002,Soil Phosphorus,13,438.0,2025-05-25 00:00:20.064596
70845927,NP002,Soil Nitrogen,12,169.0,2025-05-25 00:00:20.064596
70845923,NP002,Soil Moisture,9,26.6,2025-05-25 00:00:20.064596
70845929,NP002,Soil Potassium,14,433.0,2025-05-25 00:00:20.064596
